module,n_genes,best_adjp,neglogp,n_sig,is_sig,method,dataset
2,44,4.960562007032545e-07,6.304469117315009,125,True,baseline,COVID
3,42,7.59387970515246e-07,6.119536286812008,23,True,baseline,COVID
4,38,3.576292237516582e-06,5.446566999955767,36,True,baseline,COVID
5,38,1.6769812077314616e-11,10.775471804075046,68,True,baseline,COVID
6,35,0.0007098949409001811,3.1488059188349444,32,True,baseline,COVID
7,35,9.387285539249348e-05,4.027459971711824,35,True,baseline,COVID
8,35,0.0016597434341103,2.7799590407321375,8,True,baseline,COVID
9,34,0.00014168123958377497,3.848687652114154,50,True,baseline,COVID
10,31,0.0025822798124987,2.5879966999317268,75,True,baseline,COVID
11,29,0.087687806426915,1.0570607939735577,0,False,baseline,COVID
12,28,0.0133119122354325,1.8757595543190528,7,True,baseline,COVID
13,28,1.3673342652979664e-06,5.864125302675399,8,True,baseline,COVID
14,27,0.016519616480867,1.782000039471846,29,True,baseline,COVID
15,26,0.00045569074700433466,3.341329789863365,34,True,baseline,COVID
16,23,0.0047479765102416,2.3234914383058394,9,True,baseline,COVID
17,22,3.2524290920012164e-06,5.48779216295647,8,True,baseline,COVID
18,21,3.3259185071891523e-16,15.478088396220425,163,True,baseline,COVID
19,21,2.9520724429611383e-06,5.529872989263548,127,True,baseline,COVID
20,19,0.0137748462245882,1.8609132406929154,7,True,baseline,COVID
21,18,0.0809455187196723,1.0918071895194958,0,False,baseline,COVID
22,18,0.0747379233038199,1.1264589737893211,0,False,baseline,COVID
23,15,0.0005746160246099893,3.2406222667835913,74,True,baseline,COVID
24,13,0.0067065950101761,2.1734979185223575,57,True,baseline,COVID
25,11,0.0072466411737584,2.1398632427682176,123,True,baseline,COVID
