module,size,mean_consensus,timepoint,cluster
5,472,0.7233230774766997,17,0
6,60,0.5817853107344634,17,0
7,89,0.4166343207354443,17,0
8,37,0.5642642642642642,17,0
9,220,0.23249647156496472,17,0
10,287,0.21813308642576934,17,0
11,66,0.551981351981352,17,0
12,66,0.5361305361305362,17,0
1,402,0.8798985124254043,17,1
2,83,0.6590243902439024,17,1
3,131,0.46502407516147976,17,1
4,109,0.4342235813795447,17,1
5,327,0.4936027466651658,17,1
6,172,0.3572691418468652,17,1
7,114,0.41387051700046573,17,1
8,124,0.38407553107789144,17,1
9,538,0.2996566357223457,17,1
1,58,0.625166364186328,17,2
2,461,0.8800015090068848,17,2
3,123,0.3942636278821805,17,2
4,48,0.6822340425531914,17,2
5,344,0.41328225642416433,17,2
6,23,0.7505138339920948,17,2
7,33,0.6332575757575758,17,2
8,134,0.5764740208730781,17,2
9,195,0.2823071636267513,17,2
10,335,0.31540119760479046,17,2
11,148,0.6390255561684133,17,2
12,98,0.41172733010730067,17,2
1,403,0.8983296914929078,17,3
2,123,0.3929654804744769,17,3
3,161,0.38513354037267084,17,3
4,454,0.3622512666413824,17,3
5,82,0.6432700993676604,17,3
6,84,0.6272002294893861,17,3
7,51,0.47786666666666666,17,3
8,29,0.6040886699507388,17,3
9,193,0.3342800086355786,17,3
10,39,0.6967611336032388,17,3
11,381,0.484856195607128,17,3
1,254,1.0,17,4
2,720,1.0,17,4
3,63,0.991111111111111,17,4
4,120,0.979935574229692,17,4
5,61,0.9987103825136612,17,4
6,82,0.99614573923517,17,4
7,35,0.9965714285714287,17,4
8,40,0.9683589743589742,17,4
9,2,0.96,17,4
10,100,0.764989898989899,17,4
11,113,0.8159513274336283,17,4
12,410,0.7111360248076808,17,4
1,628,0.7215567000883797,17,5
2,358,0.5001280065098666,17,5
3,52,0.6239668174962294,17,5
4,39,0.6178677462887989,17,5
5,35,0.6187226890756302,17,5
6,47,0.714246068455134,17,5
7,86,0.4704952120383037,17,5
8,102,0.486919044845661,17,5
9,33,0.6720454545454545,17,5
10,487,0.27269112142030233,17,5
11,133,0.3010708589655958,17,5
