,EryP->EryP->EryP->EryP[0_0],MYP->MYP->MYP->EryP[1_0],eosiP->eosiP->MKP->MKP[2_0],eosiP->eosiP->LMPPs->EryP[4_0],eosiP->EryP->EryP->EryP[5_0],eosiP->eosiP->MKP->LMPPs[6_0],eosiP->EryP->MKP->LMPPs[8_0],EryP->EryP->MKP->MKP[9_0],EryP->MKP->MKP->MKP[10_0],EryP->MKP->LMPPs->EryP[11_0],EryP->EryP->MKP->LMPPs[12_0],EryP->MKP->MKP->LMPPs[13_0],EryP->MKP->LMPPs->LMPPs[14_0],HSCs->HSCs->HSCs->HSCs[15_0],MKP->LMPPs->MKP->MKP[17_0],MKP->MKP->LMPPs->EryP[18_0],MKP->LMPPs->LMPPs->EryP[19_0],MKP->HSCs->HSCs->HSCs[20_0],MKP->MKP->MKP->LMPPs[21_0],MKP->MKP->LMPPs->LMPPs[22_0],MKP->LMPPs->LMPPs->LMPPs[23_0],MKP->LMPPs->MKP->LMPPs[24_0],MYP->MYP->LMPPs->EryP[25_0],MYP->MYP->LMPPs->LMPPs[26_0],LMPPs->LMPPs->LMPPs->EryP[29_0],LMPPs->MKP->LMPPs->EryP[30_0],LMPPs->HSCs->HSCs->HSCs[31_0],LMPPs->LMPPs->LMPPs->LMPPs[32_0],LMPPs->LMPPs->MKP->LMPPs[33_0],LMPPs->MKP->MKP->LMPPs[34_0],LMPPs->MKP->LMPPs->LMPPs[35_0],MYP->MYP->MYP->MYP[37_0]
45,Hmgn1,Cox8a,Mrpl33,Mrpl33,Lmnb1,Mrpl33,Etfb,Rps7,Lamtor4,Rps7,Rpl18a,Hdgf,Gpx1,Dennd1c,Eef1a1,Manf,Manf,Csrp3,Pnck,Lst1,Eef1a1,Rps25,Parp1,Apobr,Rps7,Hdgf,Irf2bp2,Lysmd2,Pik3ip1,Lst1,Pnck,Notch2
46,Nop10,Rpl39,Parp1,Parp1,Eif5a,Parp1,Rpl39,Lamtor4,Hdgf,Lamtor4,H2afj,Rpl18a,Rps7,Tsc22d1,Rps25,Rps7,Rps7,Casp3,Lst1,Tnfrsf18,Rps25,Manf,Cox8a,Car2,Hdgf,Rpl18a,Cks2,Pik3ip1,Npdc1,Lgals3bp,Lst1,Tpm2
47,Fermt3,Ubb,Cox8a,Cox8a,Cd81,Cox8a,Arpc1a,Hdgf,Rpl18a,Hdgf,Rps26,Tyms,Lamtor4,Tgm2,Manf,Lamtor4,Hdgf,Mis18bp1,Lgals3bp,Nefh,Manf,Rps7,Rpl39,Il2rg,Rpl18a,Tyms,Ramp1,Npdc1,Sla2,Snap47,Tnfrsf18,Hdac7
48,Cbx3,Rpl32,Etfb,Etfb,Psmb10,Etfb,Rpl32,Rpl18a,Tyms,Rpl18a,Lmnb1,H2afj,Hdgf,Gkap1,Rps7,Hdgf,Rpl18a,Tnfaip8l2,Snap47,Snap47,Rps7,Hdgf,Ubb,Nkx2-3,Tyms,H2afj,Milr1,Vwf,Parp11,Insl6,Snap47,Plek
49,Tmbim6,Eef2,Rpl39,Rpl39,Mrpl33,Rpl39,Eef2,H2afj,H2afj,Tyms,Actb,Rps26,Rpl18a,Rassf4,Hdgf,Rpl18a,Tyms,Hmgb2,Insl6,Insl6,Hdgf,Rpl18a,Rpl32,Tie1,H2afj,Lmnb1,Cd9,Sla2,Nfat5,Itm2a,Insl6,Ppp2r3a
50,Eef1a1,Dut,Arpc1a,Arpc1a,Parp1,Arpc1a,Dut,Rps26,Rps26,Vimp,Baz1a,Lmnb1,Tyms,Lbp,Rpl18a,Tyms,H2afj,Optn,Itm2a,Itm2a,Rpl18a,Tyms,Eef2,Flywch2,Lmnb1,Rps26,Ms4a2,Parp11,Dennd1c,Lysmd2,Itm2a,Vgll4
51,Rps25,Stmn1,Rpl32,Rpl32,Cox8a,Rpl32,Stmn1,Lmnb1,Lmnb1,H2afj,Eif5a,Actb,H2afj,Car2,Tyms,H2afj,Lmnb1,Fam64a,Lysmd2,Lysmd2,Tyms,H2afj,Dut,2900026A02Rik,Rps26,Actb,Zeb2,Nfat5,Tgtp2,Ptms,Lysmd2,Pdzk1ip1
52,Manf,Ung,Eef2,Eef2,Etfb,Eef2,Tmem14c,Actb,Actb,Rps26,Cd81,Baz1a,Rps26,Jund,H2afj,Lmnb1,Rps26,Plgrkt,Ptms,Pik3ip1,H2afj,Lmnb1,Stmn1,Oas1c,Actb,Eif5a,Fermt3,Dennd1c,Tsc22d1,Pik3ip1,Pik3ip1,Mdfi
53,Gpx1,Mif,Dut,Dut,Rpl39,Dut,Mif,Baz1a,Baz1a,Lmnb1,Psmb10,Eif5a,Lmnb1,Tie1,Lmnb1,Rps26,Actb,Hist1h1d,Pik3ip1,Npdc1,Lmnb1,Rps26,Ung,Selp,Eif5a,Cd81,Epdr1,Jun,Jun,Npdc1,Npdc1,Ly6a
54,Rps7,Smc1a,Stmn1,Stmn1,Arpc1a,Stmn1,Smc1a,Eif5a,Eif5a,Actb,H2afz,Cd81,Actb,Nkx2-3,Rps26,Actb,Eif5a,Spc24,Npdc1,Sla2,Rps26,Ptpn18,Mif,Ttc28,Cd81,H2afz,Chd3,Tgm2,Tgm2,Sla2,Sla2,Rgs1
